sport,time,conc,gameexp,female
Soccer,1,34,30966,0
Soccer,1,51,24981,1
Soccer,2,27,19142,0
Soccer,2,47,22934,1
Soccer,3,40,25636,0
Soccer,3,60,27167,1
Lacrosse,1,19,13486,0
Lacrosse,1,12,8762,1
Lacrosse,2,15,9514,0
Lacrosse,2,7,7122,1
Lacrosse,3,17,12177,0
Lacrosse,3,7,8531,1
Basketball,1,8,27706,0
Basketball,1,16,29413,1
Basketball,2,21,39367,0
Basketball,2,30,38174,1
Basketball,3,20,32836,0
Basketball,3,26,28992,1
Softball/Baseball,1,22,51351,0
Softball/Baseball,1,9,26834,1
Softball/Baseball,2,6,49207,0
Softball/Baseball,2,10,44280,1
Softball/Baseball,3,25,80215,0
Softball/Baseball,3,28,75355,1
Gymnastics,1,0,227,0
Gymnastics,1,1,8903,1
Gymnastics,2,0,221,0
Gymnastics,2,0,822,1
Gymnastics,3,0,1179,0
Gymnastics,3,0,2083,1
